V1	clade
ON035899.1	H1
ON035900.1	H1
ON035901.1	H1
ON035902.1	H1
ON035903.1	H1
ON035904.1	H1
ON035905.1	H1
ON035906.1	H1
ON035907.1	H1
ON035908.1	H1
ON035909.1	H1
ON035910.1	H1
ON035911.1	H1
ON035912.1	H1
ON035913.1	H1
ON035914.1	H1
ON035915.1	H1
ON035916.1	H1
ON035917.1	H1
ON035918.1	H1
ON035919.1	H1
ON035920.1	H1
ON035921.1	H1
ON035922.1	H1
ON035923.1	H1
ON035924.1	H1
ON035925.1	H1
ON035926.1	H1
ON035927.1	H1
ON035928.1	H1
ON035929.1	H1
ON035930.1	H1
ON035931.1	H1
ON035932.1	H1
ON035933.1	H1
ON035934.1	H1
ON035935.1	H1
ON035936.1	H1
ON035937.1	H1
ON035938.1	H1
ON035939.1	H1
ON035940.1	H1
ON035941.1	H1
ON035942.1	H1
ON035943.1	H1
ON035944.1	H1
ON035945.1	H1
ON035946.1	H1
ON035947.1	H1
ON035948.1	H1
ON035949.1	H1
ON035950.1	H1
ON035951.1	H1
ON035952.1	H1
ON035953.1	H1
ON035954.1	H1
ON035955.1	H1
ON035956.1	H1
ON035957.1	H1
ON035958.1	H1
ON035959.1	H1
ON035960.1	H1
ON035961.1	H1
ON035962.1	H1
ON035963.1	H1
ON035964.1	H1
ON035965.1	H1
ON035966.1	H1
ON035967.1	H1
ON035968.1	H1
ON035969.1	H1
ON035970.1	H1
ON035971.1	H1
ON035972.1	H1
ON035973.1	H1
ON035974.1	H1
ON035975.1	B3
ON035976.1	H1
ON035977.1	H1
ON035978.1	H1
ON035979.1	H1
ON035980.1	H1
ON035981.1	H1
ON035982.1	H1
ON035983.1	H1
ON035984.1	H1
ON035985.1	H1
ON035986.1	H1
ON035987.1	H1
ON035988.1	H1
ON035989.1	H1
ON035990.1	H1
ON035991.1	H1
ON035992.1	H1
ON035993.1	H1
ON642794.1	B3
ON642795.1	B3
ON642796.1	B3
ON642797.1	B3
ON642798.1	B3
ON642799.1	B3
ON642800.1	B3
ON642801.1	B3
OP236009.1	D4
OP236010.1	D8
OP236011.1	D8
OP236012.1	D8
OP236013.1	D8
OP236014.1	D8
OP236015.1	D8
OP236016.1	D4
OP236017.1	D4
OP236018.1	D8
OP236019.1	D4
OP236020.1	D4
OP236021.1	D8
OP236022.1	D8
OP314477.1	B3
OP314478.1	B3
OP314479.1	B3
OP314480.1	B3
OP314481.1	B3
OP314482.1	B3
OP314483.1	B3
OP314484.1	B3
OP314485.1	B3
OP314486.1	B3
OP314487.1	B3
OP314488.1	B3
OP314489.1	B3
OP314490.1	B3
OP314491.1	B3
OP314492.1	B3
OP314493.1	B3
OP314494.1	B3
OP314495.1	B3
OP314496.1	B3
OP314497.1	B3
OP314498.1	B3
OP314499.1	B3
OP314500.1	B3
OP314501.1	B3
OP314502.1	B3
OP314503.1	B3
OP314504.1	B3
OP314505.1	B3
OP314506.1	B3
OP314507.1	B3
OP314508.1	B3
OP314509.1	B3
OP314510.1	B3
OP314511.1	B3
OP314512.1	B3
OP314513.1	B3
OP314514.1	B3
OP314515.1	B3
OP314516.1	B3
OP314517.1	B3
OP314518.1	B3
OP609647.1	D8
OP609648.1	D8
OP609649.1	D8
OP609650.1	D8
OP609651.1	D8
OP609652.1	D8
OP609653.1	D8
OP609654.1	D8
OP609655.1	D8
OP609656.1	D8
OP609657.1	D8
OP609658.1	D8
OP609659.1	D8
OP609660.1	D8
OP609661.1	D8
OP609662.1	D8
OP609663.1	D8
OP609664.1	D8
OP609665.1	D8
OP609666.1	D8
OP609667.1	D8
OP609668.1	D8
OP951096.1	B3
OP951097.1	B3
OP951098.1	B3
OP951099.1	B3
OP951100.1	B3
OP951101.1	B3
OP951102.1	B3
OP951103.1	B3
OP951104.1	D8
OP951105.1	D8
OP951106.1	D8
OP951107.1	D8
OP951108.1	D8
OP951109.1	D8
OP951110.1	D8
OP951111.1	D8
OP951112.1	D8
OP951113.1	D8
OP951114.1	D8
OP951115.1	D8
OQ078000.1	B3
OQ078001.1	B3
OQ096264.1	B3
OQ096265.1	D8
OQ096266.1	B3
OQ096267.1	D8
OQ096268.1	D8
OQ096269.1	D8
OQ096270.1	D8
OQ096271.1	D8
OQ096272.1	D8
OQ096273.1	D8
OQ096274.1	D8
OQ096275.1	B3
OQ096276.1	B3
OQ096277.1	B3
OQ096278.1	B3
OQ096279.1	D8
OQ096280.1	B3
OQ096281.1	D8
OQ096282.1	D8
OQ096283.1	D8
OQ096284.1	D8
OQ096285.1	B3
OQ096286.1	D8
OQ096287.1	D8
OQ096288.1	D8
OQ096289.1	D8
OQ096290.1	D8
OQ096291.1	D8
OQ096292.1	D8
OQ096293.1	B3
OQ096294.1	D8
OQ096295.1	D8
OQ096296.1	D8
OQ096297.1	B3
OQ096298.1	D8
OQ096299.1	B3
OQ096300.1	D8
OQ096301.1	D8
OQ096302.1	D8
OQ096303.1	D8
OQ096304.1	D8
OQ096305.1	D8
OQ096306.1	D8
OQ096307.1	D8
OQ096308.1	D8
OQ096309.1	D8
OQ096310.1	B3
OQ096311.1	D8
OQ096312.1	D8
OQ096313.1	D8
OQ096314.1	D8
OQ096315.1	B3
OQ096316.1	B3
OQ096317.1	D8
OQ096318.1	D8
OQ096319.1	D8
OQ096320.1	B3
OQ096321.1	B3
OQ096322.1	B3
OQ096323.1	D8
OQ096324.1	D8
OQ096325.1	B3
OQ096326.1	D8
OQ096327.1	D8
OQ096328.1	D8
OQ096329.1	D8
OQ096330.1	B3
OQ096331.1	D8
OQ096332.1	D8
OQ096333.1	D8
OQ096334.1	D8
OQ096335.1	D8
OQ096336.1	D8
OQ096337.1	D8
OQ096338.1	D8
OQ096339.1	B3
OR290097.1	D8
OR290098.1	B3
OR290099.1	D8
OR290100.1	D8
OR290101.1	D8
OR290102.1	D8
OR453542.1	D8
OR453543.1	D8
OR453544.1	D8
OR750917.1	B3
OR805841.2	D8
OR805842.2	D8
OR805843.2	D8
OR805844.2	D8
OR830031.1	D8
OR830032.1	D8
OR830033.1	D8
OR830034.1	D8
OR830035.1	D8
OR830036.1	D8
OR830037.1	D8
OR830038.1	D8
OR835191.2	A
OR854811.1	D8
OR854812.1	D8
OR854813.1	B3
PP101942.1	D8
PP101943.1	D8
PP446317.1	B3
PP446318.1	B3
PP626047.1	D8
PP868388.1	D8
PP887450.1	D8
PP998305.1	D8
PP998306.1	D8
PP998307.1	D8
PP998308.1	D8
PQ287420.1	B3
PQ287421.1	D8
PQ287422.1	D8
PQ287423.1	B3
PQ287424.1	B3
PQ394285.1	D8
PQ394286.1	D8
PQ394287.1	D8
PQ394288.1	D8
PQ394289.1	D8
PQ394290.1	D8
PQ394291.1	D8
PQ394292.1	D8
PQ394293.1	D8
PQ394294.1	D8
PQ394295.1	D8
PQ394296.1	D8
PQ453569.1	D8
PQ481504.1	D8
PQ481505.1	D8
PQ481506.1	D8
PQ481507.1	D8
PQ590060.1	D8
PQ778429.1	B3
PQ778430.1	B3
PQ778431.1	B3
PQ778432.1	B3
PQ778433.1	B3
PQ778434.1	B3
PQ778435.1	B3
PQ778436.1	B3
PQ778437.1	B3
PQ778438.1	B3
PQ778439.1	B3
PQ778440.1	B3
PQ778441.1	B3
PQ778442.1	B3
PQ778443.1	B3
PQ778444.1	B3
PQ778445.1	B3
PQ778446.1	B3
PQ778447.1	B3
PQ778448.1	B3
PQ778449.1	B3
PQ778450.1	B3
PQ778451.1	B3
PQ778452.1	B3
PQ778453.1	B3
PQ778454.1	B3
PQ778455.1	B3
PQ778456.1	B3
PQ778457.1	B3
PQ778458.1	B3
PQ778459.1	B3
PQ786147.1	D8
PQ786148.1	D8
PQ786149.1	D8
PQ786150.1	D8
PQ786151.1	D8
PQ786152.1	D8
PQ786153.1	D8
PQ786154.1	D8
PQ786155.1	D8
PQ786156.1	D8
PQ786157.1	D8
PQ786158.1	D8
PQ786159.1	D8
PQ786160.1	D8
PQ786161.1	D8
PQ786162.1	D8
PQ786163.1	D8
PQ786164.1	D8
PQ786165.1	D8
PQ786166.1	D8
PQ786167.1	D8
PQ786168.1	D8
PQ786169.1	D8
PQ786170.1	D8
PQ786171.1	D8
PQ786172.1	D8
PQ786173.1	D8
PQ786174.1	D8
PQ786175.1	D8
PQ786176.1	D8
PQ786177.1	D8
PQ786178.1	D8
PQ786180.1	D8
PQ786181.1	D8
PQ786182.1	D8
PQ786183.1	D8
PQ786184.1	D8
PQ786185.1	D8
PQ786186.1	D8
PQ786187.1	D8
PQ786188.1	D8
PQ786189.1	D8
PQ786190.1	D8
PQ786191.1	D8
PQ786192.1	D8
PQ786193.1	D8
PQ786194.1	D8
PQ786195.1	D8
PQ786196.1	D8
PQ786197.1	D8
PQ786198.1	D8
PQ786199.1	D8
PQ786200.1	D8
PQ786201.1	D8
PQ786202.1	D8
PQ786203.1	D8
PQ786204.1	D8
PQ786205.1	D8
PQ786206.1	D8
PQ786207.1	D8
PQ786208.1	D8
PQ786209.1	D8
PQ786210.1	D8
PQ786211.1	D8
PQ786212.1	D8
PQ786213.1	D8
PQ786214.1	D8
PQ786215.1	D8
PQ786216.1	D8
PQ786217.1	D8
PQ786218.1	D8
PQ786219.1	D8
PQ786220.1	D8
PQ786221.1	D8
PQ786222.1	D8
PQ786223.1	D8
PQ786224.1	D8
PQ786225.1	D8
PQ786226.1	D8
PQ786227.1	D8
PQ786228.1	D8
PQ786229.1	D8
PQ786230.1	D8
PQ786231.1	D8
PQ786232.1	D8
PQ786233.1	D8
PQ786234.1	D8
PQ786235.1	D8
PQ786236.1	D8
PQ786237.1	D8
PQ786238.1	D8
PQ786239.1	D8
PQ786240.1	D8
PQ786241.1	D8
PQ786242.1	D8
PQ786243.1	D8
PQ786244.1	D8
PQ786245.1	D8
PQ786246.1	D8
PQ786247.1	D8
PQ786248.1	D8
PQ786249.1	D8
PQ786250.1	D8
PQ786251.1	D8
PQ786252.1	D8
PQ786253.1	D8
PQ786254.1	D8
PQ786255.1	D8
PQ786256.1	D8
PQ786257.1	D8
PQ786258.1	D8
PQ786259.1	D8
PQ786260.1	D8
PQ786261.1	D8
PQ786262.1	D8
PQ786263.1	D8
PQ786264.1	D8
PQ786265.1	D8
PQ786266.1	D8
PQ786267.1	D8
PQ786268.1	D8
PQ786269.1	D8
PQ786270.1	D8
PQ786271.1	D8
PQ786272.1	D8
PQ786273.1	D8
PQ873016.1	B3
PQ873017.1	B3
PQ873018.1	B3
PQ873019.1	B3
PQ873020.1	B3
PQ873021.1	B3
PQ873022.1	B3
PQ873023.1	B3
PQ873024.1	D8
PQ873025.1	D8
PV686488.1	B3
PV686489.1	D8
PV809720.1	D8
PV809721.1	D8
PV870338.1	D8
PV870339.1	D8
PV870340.1	D8
PV870341.1	D8
PV870342.1	D8
PV870343.1	D8
PV870344.1	D8
PV870345.1	D8
PV870346.1	D8
PV870347.1	D8
PV870348.1	D8
PV870349.1	D8
PV870350.1	D8
PV870351.1	D8
PV870352.1	D8
PV870353.1	D8
PV870354.1	D8
PV870355.1	D8
PV870356.1	D8
PV870357.1	D8
PV870358.1	D8
PV870359.1	D8
PV870360.1	D8
PV870361.1	D8
PV870362.1	D8
PV870363.1	D8
PV870364.1	D8
PV870365.1	D8
PV870366.1	D8
PV870400.1	D8
PV870401.1	D8
PV870402.1	D8
PV870403.1	D8
PV870404.1	D8
PV870405.1	D8
PV870406.1	D8
PV870407.1	D8
PV870408.1	D8
PV870409.1	D8
PV870410.1	D8
PV870411.1	D8
PV870412.1	D8
PV870413.1	D8
PV870414.1	D8
PV870415.1	D8
PV870417.1	D8
PV870418.1	D8
PV870419.1	D8
PV870420.1	D8
PV870421.1	D8
PV870422.1	D8
PV870423.1	D8
PV870424.1	D8
PV870425.1	D8
PV870426.1	D8
PV870427.1	D8
PV870428.1	D8
PV870429.1	D8
PV870430.1	D8
PV870431.1	D8
PV870432.1	D8
PV870433.1	D8
PV870434.1	D8
PV870435.1	D8
PV870436.1	D8
PV870437.1	D8
PV870438.1	D8
PV870439.1	D8
PV870440.1	D8
PV870441.1	D8
PV870442.1	D8
PV870443.1	D8
PV870444.1	D8
PV870445.1	D8
PV870446.1	D8
PV870447.1	D8
PV870448.1	D8
PV870449.1	D8
PV870450.1	D8
PV870451.1	D8
PV870452.1	D8
PV870453.1	D8
PV870454.1	D8
PV870455.1	D8
PV870456.1	D8
PV870457.1	D8
PV870458.1	D8
PV870459.1	D8
PV870460.1	D8
PV870461.1	D8
PV870462.1	D8
PV870463.1	D8
PV870465.1	D8
PV870466.1	D8
PV870467.1	D8
PV870468.1	D8
PV870469.1	D8
PV870470.1	D8
PV870471.1	D8
PV870472.1	D8
PV870473.1	D8
PV870474.1	D8
PV870475.1	D8
PV870476.1	D8
PV870477.1	D8
PV870479.1	D8
PV870480.1	D8
PV870481.1	D8
PV870482.1	D8
PV870483.1	D8
PV870484.1	D8
PV870485.1	D8
PV870486.1	D8
PV870487.1	D8
PV870489.1	D8
PV870490.1	D8
PV870491.1	D8
PV870492.1	D8
PV870493.1	D8
PV870494.1	D8
PV870495.1	D8
PV870497.1	D8
PV870498.1	D8
PV870499.1	D8
PV870500.1	D8
PV870501.1	D8
PV870502.1	D8
PV870503.1	D8
PV870504.1	D8
PV870506.1	D8
PV870507.1	D8
PV870508.1	D8
PV870509.1	D8
PV870510.1	D8
PV872555.1	D8
PV890886.1	B3
PV890887.1	B3
PV890888.1	B3
PV890889.1	B3
PV890890.1	B3
PV890891.1	B3
PV890892.1	B3
PV890893.1	B3
PV890894.1	B3
PV890895.1	B3
PV890896.1	B3
PV890897.1	B3
PV890898.1	B3
PV890899.1	B3
PV890900.1	B3
PV890901.1	B3
PV890902.1	B3
PV890903.1	B3
PV890904.1	B3
PV890905.1	B3
PV890906.1	B3
PV890907.1	B3
PV890908.1	B3
PV890909.1	B3
PV890910.1	B3
PV890911.1	B3
PV890912.1	B3
PV931736.1	B3
PV931737.1	B3
PV948898.1	A
PX121931.1	D8
PX121934.1	D8
PX121935.1	D8
PX308137.1	D8
PX308138.1	D8
PX308139.1	D8
PX308140.1	D8
PX308141.1	D8
PX308142.1	D8
PX308143.1	D8
PX308144.1	D8
PX308145.1	D8
PX308146.1	D8
PX308147.1	D8
PX308148.1	D8
PX308150.1	D8
PX387644.1	D8
PX387645.1	D8
PX387646.1	D8
PX387647.1	D8
PX387648.1	D8
PX387649.1	D8
PX387650.1	D8
PX387651.1	D8
PX387652.1	D8
PX387653.1	D8
PX387654.1	D8
PX406184.1	D8
PX406185.1	D8
PX406186.1	D8
PX406187.1	D8
PX406188.1	D8
PX437929.1	D8
PX437930.1	D8
PX437931.1	D8
PX437932.1	D8
PX437933.1	D8
PX448496.1	D8
PX448497.1	D8
PX448498.1	D8
PX460083.1	D8
PX460085.1	D8
PX460086.1	D8
PX460087.1	D8
PX460088.1	D8
PX460089.1	D8
PX475762.1	D8
PX475763.1	D8
PX475764.1	D8
PX475767.1	D8
PX475768.1	D8
PX475769.1	D8
PX475770.1	D8
PX475771.1	D8
PX475772.1	D8
PX475773.1	D8
PX475840.1	D8
PX489703.1	D8
PX489704.1	D8
PX489705.1	D8
PX499046.1	D8
PX499047.1	D8
PX499048.1	D8
PX499049.1	D8
PX530552.1	D8
PX530553.1	D8
PX530554.1	D8
PX530555.1	D8
